candidate_number,party_id
C001,P01
C002,P02
C003,P01
C004,P07
C005,P02
C006,P01
C007,P09
C008,P08
C009,P04
C010,P14
C011,P11
C012,P15
C013,P17
C014,P18
C015,P19
C016,P12
C017,P17
C018,P15
C019,P01
C020,P11
C021,P14
C022,P07
C023,P12
C024,P10
C025,P12
C026,P12
C027,P14
C028,P01
C029,P08
C030,P08
C031,P13
C032,P10
C033,P10
C034,P15
C035,P05
C036,P03
C037,P11
C038,P13
C039,P01
C040,P13
C041,P15
C042,P03
C043,P03
C044,P14
C045,P01
C046,P18
C047,P05
C048,P11
C049,P18
C050,P08
C051,P01
C052,P09
C053,P19
C054,P18
C055,P05
C056,P06
C057,P18
C058,P05
C059,P11
C060,P19
C061,P13
C062,P14
C063,P01
C064,P18
C065,P07
C066,P20
C067,P16
C068,P05
C069,P17
C070,P02
C071,P03
C072,P20
C073,P20
C074,P09
C075,P10
C076,P07
C077,P08
C078,P14
C079,P13
C080,P14
C081,P14
C082,P19
C083,P12
C084,P18
C085,P15
C086,P18
C087,P04
C088,P18
C089,P03
C090,P15
C091,P13
C092,P14
C093,P01
C094,P06
C095,P11
C096,P19
C097,P17
C098,P07
C099,P08
C100,P18
C101,P11
C102,P07
C103,P08
C104,P10
C105,P19
C106,P08
C107,P10
C108,P07
C109,P03
C110,P18
C111,P07
C112,P10
C113,P03
C114,P02
C115,P12
C116,P04
C117,P15
C118,P04
C119,P12
C120,P11
C121,P05
C122,P02
C123,P11
C124,P08
C125,P17
C126,P19
C127,P14
C128,P17
C129,P04
C130,P04
C131,P13
C132,P15
C133,P01
C134,P01
C135,P03
C136,P06
C137,P13
C138,P11
C139,P19
C140,P07
C141,P08
C142,P10
C143,P03
C144,P15
C145,P19
C146,P05
C147,P17
C148,P04
C149,P11
C150,P01
C151,P16
C152,P10
C153,P06
C154,P07
C155,P20
C156,P18
C157,P07
C158,P07
C159,P11
C160,P08
C161,P05
C162,P13
C163,P07
C164,P14
C165,P05
C166,P10
C167,P11
C168,P13
C169,P19
C170,P13
C171,P18
C172,P19
C173,P14
C174,P14
C175,P01
C176,P20
C177,P05
C178,P16
C179,P15
C180,P06
C181,P17
C182,P16
C183,P11
C184,P06
C185,P08
C186,P14
C187,P02
C188,P13
C189,P08
C190,P11
C191,P14
C192,P05
C193,P09
C194,P19
C195,P04
C196,P07
C197,P14
C198,P01
C199,P17
C200,P20
C201,P02
C202,P13
C203,P19
C204,P20
C205,P12
C206,P13
C207,P02
C208,P13
C209,P20
C210,P11
C211,P10
C212,P15
C213,P19
C214,P20
C215,P02
C216,P20
C217,P05
C218,P08
C219,P09
C220,P14
C221,P15
C222,P06
C223,P01
C224,P02
C225,P17
C226,P03
C227,P11
C228,P04
C229,P17
C230,P14
C231,P04
C232,P02
C233,P08
C234,P17
C235,P14
C236,P20
C237,P16
C238,P16
C239,P11
C240,P07
C241,P01
C242,P08
C243,P14
C244,P14
C245,P10
C246,P08
C247,P20
C248,P05
C249,P10
C250,P19
C251,P08
C252,P05
C253,P04
C254,P20
C255,P14
C256,P03
C257,P04
C258,P15
C259,P09
C260,P19
C261,P15
C262,P15
C263,P01
C264,P17
C265,P08
C266,P13
C267,P12
C268,P05
C269,P03
C270,P17
C271,P18
C272,P09
C273,P08
C274,P05
C275,P09
C276,P04
C277,P10
C278,P16
C279,P20
C280,P13
C281,P17
C282,P14
C283,P07
C284,P07
C285,P09
C286,P03
C287,P15
C288,P15
C289,P20
C290,P12
C291,P11
C292,P03
C293,P09
C294,P20
C295,P07
C296,P11
C297,P20
C298,P12
C299,P10
C300,P09
